rank,name,code,country,birthdate
434,Lia Karatancheva,LiaKaratancheva,BUL,2003-09-08
435,Joelle Lilly Sophie Steur,JoelleLillySophieSteur,GER,2004-03-30
436,Andreea Prisacariu,AndreeaPrisacariu,ROU,2000-02-09
437,Nahia Berecoechea,NahiaBerecoechea,FRA,2004-04-23
438,Sapfo Sakellaridi,SapfoSakellaridi,GRE,2003-04-01
439,Ons Jabeur,OnsJabeur,TUN,1994-08-28
440,Yelyzaveta Kotliar,YelyzavetaKotliar,UKR,2007-02-01
441,Saki Imamura,SakiImamura,JPN,2002-04-16
442,Reina Goto,ReinaGoto,JPN,2007-09-11
443,Victoria Allen,VictoriaAllen,GBR,2001-02-26
444,Angella Okutoyi,AngellaOkutoyi,KEN,2004-01-29
445,Elena Milovanovic,ElenaMilovanovic,SRB,2001-01-31
446,Eva Marie Voracek,EvaMarieVoracek,GER,1999-03-26
447,Gabriela Lee,GabrielaLee,ROU,1995-08-23
448,Katarina Jokic,KatarinaJokic,BIH,1998-04-19
449,Tena Lukas,TenaLukas,CRO,1995-05-10
450,Justina Maria Gonzalez Daniele,JustinaMariaGonzalezDaniele,ARG,2005-12-08
451,Radka Zelnickova,RadkaZelnickova,SVK,2003-06-13
452,Verena Meliss,VerenaMeliss,ITA,1997-07-21
453,Anastasia Kulikova,AnastasiaKulikova,FIN,2000-02-15
454,Carla Markus,CarlaMarkus,ARG,2006-04-28
455,Amelia Rajecki,AmeliaRajecki,GBR,2002-06-03
456,Weronika Falkowska,WeronikaFalkowska,POL,2000-06-17
457,Gergana Topalova,GerganaTopalova,BUL,2000-02-22
458,Sofia Shapatava,SofiaShapatava,GEO,1989-01-12
459,Sarah Van Emst,SarahVanEmst,NED,2004-11-06
460,Denislava Glushkova,DenislavaGlushkova,BUL,2004-01-08
461,Astrid Lew Yan Foon,AstridLewYanFoon,FRA,2005-08-15
462,Laura Mair,LauraMair,ITA,2003-01-03
463,Emily Seibold,EmilySeibold,GER,2000-01-01
464,Kristina Kroitor,KristinaKroitor,RUS,2006-12-20
465,Venus Williams,VenusWilliams,USA,1980-06-17
466,Oceane Dodin,OceaneDodin,FRA,1996-10-24
467,Amarni Banks,AmarniBanks,GBR,2002-10-08
468,Priska Madelyn Nugroho,PriskaMadelynNugroho,INA,2003-05-29
469,Martina Okalova,MartinaOkalova,SVK,1997-06-05
470,Diana Martynov,DianaMartynov,FRA,2001-04-25
471,Cristina Diaz Adrover,CristinaDiazAdrover,ESP,2005-12-03
472,Valentini Grammatikopoulou,ValentiniGrammatikopoulou,GRE,1997-02-09
473,Rinko Matsuda,RinkoMatsuda,JPN,2005-04-10
474,Yuno Kitahara,YunoKitahara,JPN,2006-07-11
475,Wushuang Zheng,WushuangZheng,CHN,1998-11-29
476,Zhibek Kulambayeva,ZhibekKulambayeva,KAZ,2000-03-26
477,Ipek Oz,IpekOz,TUR,1999-07-08
478,Alena Kovackova,AlenaKovackova,CZE,2008-06-13
479,Kylie Collins,KylieCollins,USA,2002-12-04
480,Anastasia Abbagnato,AnastasiaAbbagnato,ITA,2003-11-19
481,Lidia Encheva,LidiaEncheva,BUL,2006-07-30
482,Ayano Shimizu,AyanoShimizu,JPN,1998-04-11
483,Sara Dols,SaraDols,ESP,2005-05-09
484,Robin Montgomery,RobinMontgomery,USA,2004-09-05
485,Maria Sara Popa,MariaSaraPopa,ROU,2005-07-29
486,Sofia Elena Cabezas Dominguez,SofiaElenaCabezasDominguez,VEN,2002-02-06
487,Aneta Kladivova,AnetaKladivova,CZE,2000-05-23
488,Gina Marie Dittmann,GinaMarieDittmann,GER,2002-09-10
489,Ikumi Yamazaki,IkumiYamazaki,JPN,2001-08-24
490,Julia Adams,JuliaAdams,USA,1999-09-23
491,Mariam Bolkvadze,MariamBolkvadze,GEO,1998-01-01
492,Tahlia Kokkinis,TahliaKokkinis,AUS,2008-08-11
493,Lucia Cortez Llorca,LuciaCortezLlorca,ESP,2000-06-05
494,Mathilde Lollia,MathildeLollia,FRA,2000-05-20
495,Katerina Tsygourova,KaterinaTsygourova,SUI,2000-05-11
496,Ekaterina Ovcharenko,EkaterinaOvcharenko,RUS,2000-12-31
497,Ylena In Albon,YlenaInAlbon,SUI,1999-03-06
498,Victoria Milovanova,VictoriaMilovanova,RUS,2007-03-01
499,Jule Niemeier,JuleNiemeier,GER,1999-08-12
500,Camilla Zanolini,CamillaZanolini,ITA,2003-03-26
501,Maria Golovina,MariaGolovina,RUS,2007-08-05
502,Rasheeda Mcadoo,RasheedaMcadoo,USA,1995-06-30
503,Ranah Akua Stoiber,RanahAkuaStoiber,GBR,2005-05-25
504,Meiqi Guo,MeiqiGuo,CHN,2000-01-09
505,Andre Lukosiute,AndreLukosiute,LTU,2001-06-23
506,Lan Mi,LanMi,CHN,2004-11-15
507,Yaroslava Bartashevich,YaroslavaBartashevich,FRA,2005-03-29
508,Jenny Lim,JennyLim,FRA,2005-01-17
509,Isabella Maria Serban,IsabellaMariaSerban,ROU,2006-03-28
510,Esther Adeshina,EstherAdeshina,GBR,2001-10-04
511,Hannah Klugman,HannahKlugman,GBR,2009-02-18
512,Nicole Fossa Huergo,NicoleFossaHuergo,ITA,1995-05-26
513,Shilin Xu,ShilinXu,CHN,1998-01-10
514,Luiza Fullana,LuizaFullana,BRA,2001-04-09
515,Lina Glushko,LinaGlushko,ISR,2000-01-12
516,Ekaterina Maklakova,EkaterinaMaklakova,RUS,2004-03-18
517,Hikaru Sato,HikaruSato,JPN,1999-04-05
518,Tessah Andrianjafitrimo,TessahAndrianjafitrimo,FRA,1998-10-11
519,Chengyiyi Yuan,ChengyiyiYuan,CHN,2000-08-24
520,Ekaterina Khayrutdinova,EkaterinaKhayrutdinova,RUS,2004-03-13
521,Reese Brantmeier,ReeseBrantmeier,USA,2004-10-05
522,Lucie Nguyen Tan,LucieNguyenTan,FRA,2003-05-30
523,Zeel Desai,ZeelDesai,IND,1999-02-18
524,Anca Alexia Todoni,AncaAlexiaTodoni,ROU,2004-10-10
525,Ana Candiotto,AnaCandiotto,BRA,2004-04-19
526,Beatrise Zeltina,BeatriseZeltina,LAT,2007-03-18
527,Nina Vargova,NinaVargova,SVK,2005-09-09
528,Destanee Aiava,DestaneeAiava,AUS,2000-05-10
529,Dana Guzman,DanaGuzman,PER,2003-03-22
530,Wakana Sonobe,WakanaSonobe,JPN,2008-01-17
531,Isis Louise Van Den Broek,IsisLouiseVanDenBroek,NED,2005-12-28
532,Natsuki Yoshimoto,NatsukiYoshimoto,JPN,2003-06-24
533,Antonia Schmidt,AntoniaSchmidt,GER,2001-06-23
534,Astra Sharma,AstraSharma,AUS,1995-09-11
535,Daria Lodikova,DariaLodikova,RUS,1996-05-25
536,Marie Vogt,MarieVogt,GER,2005-02-03
537,Arianna Zucchini,AriannaZucchini,ITA,2003-07-10
538,Ella Mcdonald,EllaMcdonald,GBR,2005-08-04
539,Ilinca Dalina Amariei,IlincaDalinaAmariei,ROU,2002-07-30
540,Elina Nepliy,ElinaNepliy,RUS,1997-10-23
541,Julia Stusek,JuliaStusek,GER,2008-06-23
542,Kayo Nishimura,KayoNishimura,JPN,2006-06-11
543,Josy Daems,JosyDaems,GER,2006-03-13
544,Jana Otzipka,JanaOtzipka,BEL,2005-02-01
545,Ema Burgic,EmaBurgic,BIH,1992-08-22
546,Jiayi Wang,JiayiWang,CHN,2007-09-08
547,Vitalia Diatchenko,VitaliaDiatchenko,RUS,1990-08-02
548,Enola Chiesa,EnolaChiesa,ITA,2000-07-16
549,Maria Fernanda Navarro Oliva,MariaFernandaNavarroOliva,MEX,1996-06-22
550,Lea Nilsson,LeaNilsson,SWE,2008-06-24
551,Ariana Geerlings,ArianaGeerlings,ESP,2005-09-01
552,Thaisa Grana Pedretti,ThaisaGranaPedretti,BRA,1999-05-15
553,Valeriya Strakhova,ValeriyaStrakhova,UKR,1995-06-09
554,Ying Zhang,YingZhang,CHN,1996-04-15
555,Aneta Laboutkova,AnetaLaboutkova,CZE,2000-05-10
556,Ekaterina Yashina,EkaterinaYashina,RUS,1993-08-06
557,Erika Sema,ErikaSema,JPN,1988-11-24
558,Iva Primorac,IvaPrimorac,CRO,1996-04-10
559,Monika Ekstrand,MonikaEkstrand,USA,2007-05-02
560,Julie Pastikova,JuliePastikova,CZE,2008-05-31
561,Mara Guth,MaraGuth,GER,2003-06-24
562,Anja Stankovic,AnjaStankovic,SRB,2005-06-13
563,Michika Ozeki,MichikaOzeki,JPN,1992-03-17
564,Ekaterina Perelygina,EkaterinaPerelygina,RUS,2006-08-11
565,Dalayna Hewitt,DalaynaHewitt,USA,2000-12-16
566,Oana Georgeta Simion,OanaGeorgetaSimion,ROU,1996-03-08
567,Fangzhou Liu,FangzhouLiu,CHN,1995-12-12
568,Bernarda Pera,BernardaPera,USA,1994-12-03
569,Emina Bektas,EminaBektas,USA,1993-03-30
570,Sara Daavettila,SaraDaavettila,USA,1997-12-17
571,Bianca Elena Barbulescu,BiancaElenaBarbulescu,ROU,2003-11-11
572,Sofia Rocchetti,SofiaRocchetti,ITA,2002-08-23
573,Alexis Blokhina,AlexisBlokhina,USA,2004-08-17
574,Elena Korokozidi,ElenaKorokozidi,GRE,2003-06-27
575,Katy Dunne,KatyDunne,GBR,1995-02-16
576,Jana Kovackova,JanaKovackova,CZE,2010-06-13
577,Bella Payne,BellaPayne,USA,2007-09-15
578,Daria Egorova,DariaEgorova,RUS,2007-06-22
579,Nellie Taraba Wallberg,NellieTarabaWallberg,SWE,2007-03-30
580,Ya Yi Yang,YaYiYang,TPE,2004-05-30
581,Tian Jialin,TianJialin,CHN,2006-10-04
582,Ksenia Efremova,KseniaEfremova,FRA,2009-04-28
583,Draginja Vukovic,DraginjaVukovic,SRB,2000-04-27
584,Tamila Gadamauri,TamilaGadamauri,BEL,2005-02-21
585,Ania Hertel,AniaHertel,POL,2000-10-27
586,Carmen Andreea Herea,CarmenAndreeaHerea,ROU,2005-11-28
587,Sarah Rokusek,SarahRokusek,AUS,2006-04-11
588,"Sofia Johnson</a></td><td align=""left"">GBR</td><td align=""right""></td></tr><tr><td align=""right"">589</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MayukaAikawa"">Mayuka Aikawa",SofiaJohnson,JPN,1998-04-02
590,Arina Bulatova,ArinaBulatova,RUS,2006-04-18
591,Valentina Steiner,ValentinaSteiner,GER,2006-07-19
592,Adelina Lachinova,AdelinaLachinova,LAT,2008-02-10
593,Thasaporn Naklo,ThasapornNaklo,THA,2001-08-20
594,Angelica Raggi,AngelicaRaggi,ITA,1998-11-14
595,Mariella Thamm,MariellaThamm,GER,2009-08-21
596,Marie Weckerle,MarieWeckerle,LUX,2003-05-04
597,Ann Akasha Ceuca,AnnAkashaCeuca,GER,2006-11-08
598,Dune Vaissaud,DuneVaissaud,FRA,2007-02-15
599,Jana Kolodynska,JanaKolodynska,BLR,2003-08-10
600,Luciana Moyano,LucianaMoyano,ARG,2005-09-27
601,Daria Zelinskaya,DariaZelinskaya,RUS,2004-08-26
602,Dasha Ivanova,DashaIvanova,USA,1996-10-11
603,Kristina Dmitruk,KristinaDmitruk,BLR,2003-09-25
604,Ruth Roura Llaverias,RuthRouraLlaverias,ESP,2006-02-08
605,Briana Szabo,BrianaSzabo,ROU,2005-11-26
606,Luca Udvardy,LucaUdvardy,HUN,2005-11-04
607,Ava Markham,AvaMarkham,USA,1999-12-29
608,Clara Vlasselaer,ClaraVlasselaer,BEL,2001-03-03
609,Alice Gillan,AliceGillan,GBR,1998-08-15
610,Jaeda Daniel,JaedaDaniel,USA,1999-07-28
611,Valentina Ivanov,ValentinaIvanov,NZL,2001-03-27
612,Sara Cakarevic,SaraCakarevic,FRA,1997-03-12
613,Eleejah Inisan,EleejahInisan,FRA,2008-07-06
614,Mayu Crossley,MayuCrossley,JPN,2006-06-15
615,Adithya Karunaratne,AdithyaKarunaratne,SRI,2001-12-04
616,"Xinran Sun</a></td><td align=""left"">CHN</td><td align=""right""></td></tr><tr><td align=""right"">617</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnkitaRaina"">Ankita Raina",XinranSun,IND,1993-01-11
618,Carson Tanguilig,CarsonTanguilig,USA,2003-07-31
619,Berta Bonardi,BertaBonardi,ARG,1995-06-21
620,Yujia Huang,YujiaHuang,CHN,2002-11-18
621,Ana Grubor,AnaGrubor,CAN,2004-01-02
622,Pia Lovric,PiaLovric,SLO,2002-04-23
623,Carolina Kuhl,CarolinaKuhl,GER,2005-04-04
624,Alexandra Vagramov,AlexandraVagramov,CAN,2001-06-01
625,Gaia Maduzzi,GaiaMaduzzi,ITA,2006-04-30
626,Adrienn Nagy,AdriennNagy,HUN,2001-03-24
627,Alba Rey Garcia,AlbaReyGarcia,ESP,2002-06-29
628,Merna Refaat,MernaRefaat,EGY,2004-08-16
629,Savannah Broadus,SavannahBroadus,USA,2002-09-18
630,Maria Kalyakina,MariaKalyakina,RUS,2006-05-02
631,Jennifer Brady,JenniferBrady,USA,1995-04-12
632,Maria Kozyreva,MariaKozyreva,RUS,1999-05-22
633,"Thea Frodin</a></td><td align=""left"">USA</td><td align=""right""></td></tr><tr><td align=""right"">634</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DunjaMaric"">Dunja Maric",TheaFrodin,SRB,2006-06-13
635,Naho Sato,NahoSato,JPN,2001-01-23
636,Ksenia Zaytseva,KseniaZaytseva,RUS,2004-09-13
637,Shrivalli Rashmikaa Bhamidipaty,ShrivalliRashmikaaBhamidipaty,IND,2001-12-12
638,Marie Mettraux,MarieMettraux,SUI,2000-04-07
639,Fiona Ganz,FionaGanz,SUI,2000-09-16
640,Amelie Van Impe,AmelieVanImpe,BEL,2004-07-19
641,Cheuk Ying Shek,CheukYingShek,HKG,2005-04-05
642,Milana Zhabrailova,MilanaZhabrailova,RUS,2003-02-10
643,Jodie Burrage,JodieBurrage,GBR,1999-05-28
644,Jenny Duerst,JennyDuerst,SUI,1999-03-25
645,Alize Lim,AlizeLim,FRA,1990-07-13
646,Indianna Spink,IndiannaSpink,GBR,2002-10-7
647,Iva Ivanova,IvaIvanova,BUL,2006-09-09
648,Astrid Cirotte,AstridCirotte,FRA,2003-12-16
649,Ashley Lahey,AshleyLahey,USA,1999-10-26
650,Demi Tran,DemiTran,NED,2000-11-26
651,Gabriella Da Silva Fick,GabriellaDaSilvaFick,AUS,2000-08-23
652,Anna Kubareva,AnnaKubareva,BLR,2001-02-06
653,Eva Maria Ionescu,EvaMariaIonescu,ROU,2007-06-09
654,Daria Yesypchuk,DariaYesypchuk,UKR,2005-10-04
655,Viola Turini,ViolaTurini,ITA,2005-12-13
656,Loes Ebeling Koning,LoesEbelingKoning,NED,2006-02-20
657,Johanne Christine Svendsen,JohanneChristineSvendsen,DEN,2004-05-15
658,Junhan Zhang,JunhanZhang,CHN,2007-04-16
659,Chenting Zhu,ChentingZhu,CHN,2007-09-13
660,Anna Petkovic,AnnaPetkovic,GER,2005-06-02
661,Ayumi Koshiishi,AyumiKoshiishi,JPN,2000-07-28
662,Maria Garcia Cid,MariaGarciaCid,ESP,2005-04-05
663,Rachel Gailis,RachelGailis,USA,2004-08-30
664,Irina Balus,IrinaBalus,SVK,2005-09-12
665,Eliska Tichackova,EliskaTichackova,CZE,2006-12-14
666,Haruna Arakawa,HarunaArakawa,JPN,1999-10-27
667,Kisa Yoshioka,KisaYoshioka,JPN,2000-09-02
668,Su Jeong Jang,SuJeongJang,KOR,1995-03-13
669,Hiroko Kuwata,HirokoKuwata,JPN,1990-12-18
670,Jessica Hinojosa Gomez,JessicaHinojosaGomez,MEX,1997-09-18
671,Yuliya Hatouka,YuliyaHatouka,BLR,2000-04-24
672,Aruzhan Sagandykova,AruzhanSagandykova,KAZ,2004-12-21
673,Sayaka Ishii,SayakaIshii,JPN,2005-08-31
674,Nauhany Vitoria Leme Da Silva,NauhanyVitoriaLemeDaSilva,BRA,2010-03-13
675,Urszula Radwanska,UrszulaRadwanska,POL,1990-12-07
676,Ellie Schoppe,EllieSchoppe,USA,2001-11-18
677,Maria Sholokhova,MariaSholokhova,RUS,2004-01-12
678,Emma Lene,EmmaLene,FRA,1999-07-15
679,Alyssa Reguer,AlyssaReguer,FRA,2006-05-04
680,Mary Lewis,MaryLewis,USA,1998-10-25
681,Olivia Lincer,OliviaLincer,USA,2004-12-17
682,Shiho Akita,ShihoAkita,JPN,1990-01-18
683,Rebecca Munk Mortensen,RebeccaMunkMortensen,DEN,2005-11-01
684,Marcelina Podlinska,MarcelinaPodlinska,POL,1999-05-27
685,Laia Petretic,LaiaPetretic,FRA,2004-04-07
686,Patricia Maria Tig,PatriciaMariaTig,ROU,1994-07-27
687,Beatrice Ricci,BeatriceRicci,ITA,2003-07-07
688,Eudice Wong Chong,EudiceWongChong,HKG,1996-04-22
689,Amy Zhu,AmyZhu,USA,1994-10-28
690,Meiling Wang,MeilingWang,CHN,2000-02-22
691,Petra Martic,PetraMartic,CRO,1991-01-19
692,Sachia Vickery,SachiaVickery,USA,1995-05-11
693,Stefani Webb,StefaniWebb,AUS,2005-03-20
694,Nika Radisic,NikaRadisic,SLO,2000-03-19
695,Irem Kurt,IremKurt,TUR,2007-06-07
696,Luna Vujovic,LunaVujovic,SRB,2009-07-24
697,Noelia Bouzo Zanotti,NoeliaBouzoZanotti,ESP,1999-09-06
698,Dasha Plekhanova,DashaPlekhanova,CAN,2004-02-19
699,Noelia Zeballos,NoeliaZeballos,BOL,1994-05-02
700,Anne Christine Lutkemeyer Obregon,AnneChristineLutkemeyerObregon,USA,2004-05-24
701,Anamaria Federica Oana,AnamariaFedericaOana,ROU,2007-07-18
702,Melisa Ercan,MelisaErcan,TUR,2005-09-01
703,Federica Sacco,FedericaSacco,ITA,2002-04-20
704,Franziska Sziedat,FranziskaSziedat,GER,2000-08-06
705,Tilwith Di Girolami,TilwithDiGirolami,BEL,2003-09-29
706,Yiming Dang,YimingDang,CHN,2004-08-30
707,Carmen Lopez Martinez,CarmenLopezMartinez,ESP,2005-04-23
708,Yuhan Wang,YuhanWang,CHN,2007-06-21
709,Sae Noguchi,SaeNoguchi,JPN,2007-03-26
710,"Ekaterina Tupitsyna</a></td><td align=""left"">RUS</td><td align=""right""></td></tr><tr><td align=""right"">711</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PolinaKuharenko"">Polina Kuharenko",EkaterinaTupitsyna,BLR,2008-06-09
712,Marine Szostak,MarineSzostak,FRA,2002-01-02
713,Jenna Defalco,JennaDefalco,USA,2002-11-13
714,Nada Fouad,NadaFouad,EGY,2003-08-21
715,Lian Tran,LianTran,NED,2002-07-19
716,Jessica Bertoldo,JessicaBertoldo,ITA,1992-10-01
717,Sarah Iliev,SarahIliev,FRA,2006-10-03
718,Oceane Babel,OceaneBabel,FRA,2004-02-26
719,Edda Mamedova,EddaMamedova,RUS,2006-10-12
720,Rose Marie Nijkamp,RoseMarieNijkamp,NED,2006-02-03
721,Honoka Kobayashi,HonokaKobayashi,JPN,2000-04-23
722,Leonie Kung,LeonieKung,SUI,2000-10-21
723,Usue Maitane Arconada,UsueMaitaneArconada,USA,1998-10-28
724,Hong Yi Cody Wong,HongYiCodyWong,HKG,2002-03-14
725,Shannon Lam,ShannonLam,USA,2008-06-07
726,Margaux Maquet,MargauxMaquet,BEL,2001-10-10
727,Nina Stojanovic,NinaStojanovic,SRB,1996-07-30
728,Georgia Andreea Craciun,GeorgiaAndreeaCraciun,ROU,1999-07-14
729,Julia Konishi Camargo Silva,JuliaKonishiCamargoSilva,BRA,2000-01-26
730,"Kailey Evans</a></td><td align=""left"">USA</td><td align=""right""></td></tr><tr><td align=""right"">731</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VladaMincheva"">Vlada Mincheva",KaileyEvans,RUS,2007-02-03
732,Mariia Tkacheva,MariiaTkacheva,RUS,2001-12-17
733,Kristina Novak,KristinaNovak,SLO,2000-08-03
734,Sophia Biolay,SophiaBiolay,FRA,2001-07-03
735,Salma Ewing,SalmaEwing,USA,2000-08-28
736,Neus Torner Sensano,NeusTornerSensano,ESP,2007-10-08
737,Masha Lazarenko,MashaLazarenko,UKR,2008-12-12
738,Merel Hoedt,MerelHoedt,NED,1999-08-20
739,Anastasiia Firman,AnastasiiaFirman,UKR,2006-12-29
740,Ruien Zhang,RuienZhang,CHN,2008-04-27
741,Shiyu Ye,ShiyuYe,CHN,2007-04-20
742,Linea Bajraliu,LineaBajraliu,SWE,2007-01-11
743,Ida Wobker,IdaWobker,GER,2010-09-08
744,Valeria Bhunu,ValeriaBhunu,ZIM,1995-04-03
745,Raphaelle Lacasse,RaphaelleLacasse,CAN,2000-08-16
746,Sabine Rutlauka,SabineRutlauka,LAT,2002-10-11
747,Zoziya Kardava,ZoziyaKardava,RUS,2001-07-15
748,Camilla Gennaro,CamillaGennaro,ITA,2003-09-30
749,Noemi Maines,NoemiMaines,ITA,2006-07-17
750,Anastasia Bertacchi,AnastasiaBertacchi,ITA,2006-12-18
751,Stefania Bojica,StefaniaBojica,ROU,2005-03-10
752,Karine Sarkisova,KarineSarkisova,RUS,1998-06-07
753,Karla Popovic,KarlaPopovic,CRO,1995-09-05
754,Marta Lombardini,MartaLombardini,ITA,2003-02-27
755,Maya Iyengar,MayaIyengar,USA,2007-06-10
756,Peangtarn Plipuech,PeangtarnPlipuech,THA,1992-11-15
757,Valeriya Yushchenko,ValeriyaYushchenko,RUS,1999-06-26
758,Petra Konjikusic,PetraKonjikusic,SRB,2007-06-07
759,Yingqun Sun,YingqunSun,CHN,2006-02-09
760,Nagi Hanatani,NagiHanatani,JPN,1995-03-07
761,Ivana Sebestova,IvanaSebestova,CZE,2001-03-04
762,Laima Vladson,LaimaVladson,LTU,2007-09-18
763,Anita Sahdiieva,AnitaSahdiieva,UKR,2004-01-21
764,Alexis Nguyen,AlexisNguyen,USA,2007-12-02
765,Giulia Safina Popa,GiuliaSafinaPopa,ROU,2009-11-09
766,Alice Robbe,AliceRobbe,FRA,2000-05-10
767,Monique Barry,MoniqueBarry,NZL,2002-06-21
768,Shruti Ahlawat,ShrutiAhlawat,IND,2006-06-16
769,Ha Eum Lee,HaEumLee,KOR,2008-06-24
770,Chelsea Fontenel,ChelseaFontenel,SUI,2004-06-25
771,Yuliana Lizarazo,YulianaLizarazo,COL,1993-05-23
772,Ani Amiraghyan,AniAmiraghyan,ARM,1993-10-09
773,Tiana Tian Deng,TianaTianDeng,SWE,2008-07-05
774,Xi Luo,XiLuo,CHN,2007-12-16
775,Belle Thompson,BelleThompson,AUS,1999-11-19
776,Alyssa Ahn,AlyssaAhn,USA,2006-12-27
777,Meng Yi Chen,MengYiChen,CHN,2003-01-19
778,Jimar Geraldine Gerald Gonzalez,JimarGeraldineGeraldGonzalez,CHI,2002-01-17
779,Nadia Podoroska,NadiaPodoroska,ARG,1997-02-10
780,Luisa Meyer Auf Der Heide,LuisaMeyerAufDerHeide,GER,2002-01-31
781,Ayumi Miyamoto,AyumiMiyamoto,JPN,2000-12-18
782,Yasmin Ezzat,YasminEzzat,EGY,2003-08-27
783,"Francesca Gandolfi</a></td><td align=""left"">ITA</td><td align=""right""></td></tr><tr><td align=""right"">784</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarolineGarcia"">Caroline Garcia",FrancescaGandolfi,FRA,1993-10-16
785,Mia Horvit,MiaHorvit,USA,1997-07-23
786,"Ulyana Hrabavets</a></td><td align=""left"">BLR</td><td align=""right""></td></tr><tr><td align=""right"">787</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoBosman"">Coco Bosman",UlyanaHrabavets,NED,2003-03-12
788,Laura Svatikova,LauraSvatikova,SVK,1994-04-29
789,Madelief Hageman,MadeliefHageman,NED,2003-01-28
790,Riya Bhatia,RiyaBhatia,IND,1997-09-24
791,Gaeul Jang,GaeulJang,KOR,2006-09-30
792,"Kanon Sawashiro</a></td><td align=""left"">JPN</td><td align=""right""></td></tr><tr><td align=""right"">793</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YujinKim"">Yujin Kim",KanonSawashiro,KOR,2005-06-10
794,Anna Snigireva,AnnaSnigireva,RUS,2007-12-22
795,Shiho Tsujioka,ShihoTsujioka,JPN,2007-01-14
796,Jiangxue Han,JiangxueHan,CHN,2001-11-28
797,Evialina Laskevich,EvialinaLaskevich,BLR,2004-11-10
798,Punnin Kovapitukted,PunninKovapitukted,THA,2003-02-05
799,Kateryna Lazarenko,KaterynaLazarenko,UKR,2004-11-07
800,Kamilla Bartone,KamillaBartone,LAT,2002-06-07
801,Adriana Reami,AdrianaReami,USA,1997-11-13
802,"Luna Maria Cinalli</a></td><td align=""left"">ARG</td><td align=""right""></td></tr><tr><td align=""right"">803</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarmenGallardoGuevara"">Carmen Gallardo Guevara</a></td><td align=""left"">ESP</td><td align=""right""></td></tr><tr><td align=""right"">804</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VictoriaGomez"">Victoria Gomez",LunaMariaCinalli,ESP,2003-11-13
805,Amy Sucha,AmySucha,CZE,2007-11-29
806,Julia Stamatova,JuliaStamatova,BUL,1993-06-04
807,Dabin Kim,DabinKim,KOR,1997-01-02
808,Marianne Argyrokastriti,MarianneArgyrokastriti,GRE,2001-10-01
809,Arina Gabriela Vasilescu,ArinaGabrielaVasilescu,ROU,1997-03-06
810,Onyu Choi,OnyuChoi,KOR,2006-12-29
811,Klara Veldman,KlaraVeldman,NED,2003-12-15
812,Carolina Bohrer Martins,CarolinaBohrerMartins,BRA,2007-09-15
813,Marie Villet,MarieVillet,FRA,1996-11-17
814,Lucie Petruzelova,LuciePetruzelova,CZE,2002-08-30
815,Linda Sevcikova,LindaSevcikova,CZE,1998-06-09
816,Nadiia Kolb,NadiiaKolb,UKR,1993-01-19
817,Christasha Mcneil,ChristashaMcneil,USA,2006-10-03
818,"Olga Danilova</a></td><td align=""left"">CYP</td><td align=""right""></td></tr><tr><td align=""right"">819</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SalmaDrugdova"">Salma Drugdova",OlgaDanilova,SVK,2004-12-09
820,Ella Haavisto,EllaHaavisto,FIN,2002-03-28
821,Ksenia Laskutova,KseniaLaskutova,RUS,1996-08-29
822,Maria Fernanda Herazo Gonzalez,MariaFernandaHerazoGonzalez,COL,1997-03-22
823,Valentina Mediorreal Arias,ValentinaMediorrealArias,COL,2007-03-02
824,Sarah Melany Fajmonova,SarahMelanyFajmonova,CZE,2007-03-09
825,Ava Hrastar,AvaHrastar,USA,2002-02-27
826,Ya Hsuan Lee,YaHsuanLee,TPE,1995-07-20
827,Maria Toma,MariaToma,ROU,1999-01-25
828,Isabella Barrera Aguirre,IsabellaBarreraAguirre,USA,2003-03-07
829,Malene Helgo,MaleneHelgo,NOR,1999-08-26
830,Robin Anderson,RobinAnderson,USA,1993-04-12
831,Darja Suvirdjonkova,DarjaSuvirdjonkova,SRB,2005-06-16
832,Maria Oliver Sanchez,MariaOliverSanchez,ESP,2000-05-14
833,Diana Marcinkevica,DianaMarcinkevica,LAT,1992-08-03
834,Eugenie Bouchard,EugenieBouchard,CAN,1994-02-25
835,Yushan Shao,YushanShao,CHN,2008-12-26
836,Laquisa Khan,LaquisaKhan,AUS,2002-11-11
